あ,さあ,は
ああ,サービス,パーテイー
よかった,さいきん,パーテイールーム
いけない,さイズ,はい
あいさつ,さいふ,ばい
アイスクリーム,ざいりょう,ハイキング
あいだ,サウジアラビア,はいけんします
あいて,さがします,はいしゃ
あいます,さかな,はいります
あお,さがります,はがき
あおい,さきに,はかります
あか,さきます,はきます
あかい,さくひん,はこ
あかちゃん,さくぶん,はこびます
あがります,さくら,はさみ
あかるい,さけ,はし
あき,さげます,はじまります
あきます,さします,はじめ
あきらめます,さしみ,はじめて
あけます,さそいます,はじめに
あげます,さっき,はじめまして
あさ,ざっし,はじめます
あさごはん,さとう,ばしょ
あさって,さどう,はしります
あし,さびしい,バス
あじ,さっきょく,はずかしい
あした,さま,はずします
あそこ,さむい,バスてい
あそびます,さようなら,パスポート
あたたかい,さら,はずれます
あたま,さらいげつ,パソコン
あたらしい,さらいしゅう,はたらきます
あちら,さらいねん,はつおん
あつい,さる,はつか
あっち,さわぎます,はっきり
あつまります,サワジアラピア,ばっきん
あつめます,さわります,はっけんします
あと,さん,はっぴょう
あとで,さんかします,はっぴょうかい
あなた,ざんぎょうします,はつめいします
あに,さんせい,パトカー
アニメ,サンドイッチ,はな
あね,ざんねんです,はなし
あの,さんぽします,はなします
あのう,じ,はなび
あのかた,しあい,はなみ
あのひと,しあわせ,はは
アパート,シーディー,はやい
あびます,しお,はやく
あぶない,しか,はらいます
アフリカ,しかし,パリ
あまい,しかります,はります
あまり,じかん,はる
あみだな,しき,はれます
あめ,しけん,はん
アメリカ,じこ,ばん
あらいます,じこくひょう,パン
ありがとうございました,しごと,ハンカチ
ありがとう,じしょ,ばんぐみ
あります,じしん,はんこ
ある,しずか,ばんごう
あるいて,しぜん,バンコク
あるきます,した,ばんごはん
アルバイト,したぎ,ハンサム
アルバム,じっけん,はんたい
あれ,じつは,パンダ
あれ？,しっぱいします,パンチ
あんしょうばんごう,しつもん,はんとし
あんしんします,しつもんします,バントン
あんぜん,しつれいいたします,パンフレット
あんな,しつれいします,はんぶん
あんないします,しつれいですが,ひ
あんなに,していらっしゃいます,ピアノ
い,してん,ビール
いい,じてんしゃ,ひがし
いいえ,じどうしゃ,ひきだし
けっこうです,じどうはんばいき,ひきます
まだまだです,しなもの,ひくい
いいえわかりません,しにます,ひこうき
いいてんきですね,しばらく,ビザ
いいことですね,じぶん,ひさしぶりですね
いいです,じぶんで,びじゅつ
いいですね,しま,びじゅつかん
いいですよ,しまいます,ひじょうぐち
いいます,します,ひだり
いえ,しまります,びっくりします
いか,じむしょ,ひっこし
いかがですか,しめきり,ひつよう
いがく,しめます,ビデオ
いきます,じゃ,ひと
いくつ,シャープペンシル,ひどい
いくら,しゃいん,ひとこと
イギリス,しゃかい,ひとつ
いけ,ジャカルタ,ひとり
いけばな,しやくしょ,ひとりで
いけん,しゃしん,ひま
いしゃ,ジャズ,ひも
いじょう,しゃちょう,ひゃく
いじょうです,シャツ,ひゃくじゅうきゅうばん
いす,じゃまた,ひゃくとおばん
いず,じゃま,ひやします
いそがしい,シャワー,びょういん
いそぎます,シャンハイ,びよういん
いたいです,シャンプー,びょうき
いたします,じゅう,ひらがな
いただきます,しゅうかん,ひらきます
イタリア,じゅうしょ,ひる
いちど,じゅうどう,ビル
いちども,じゆうに,ひるごはん
いちばん,じゅうぶん,ひるま
いちばんした,しゅうまつ,ひるやすみ
いつ,じゅうよっか,ひろい
いつか,しゅうりします,ひろいます
いっしょうけんめい,じゅぎょう,びん
いっしょに,じゅく,ファイル
いっしょにいかがですか,しゅくだい,ふうとう
いつつ,しゅしょう,プール
いってきます,じゅしょうします,ふえます
いつでも,しゅじん,ふきます
いってらっしゃい,しゅっせきします,ふく
いつも,しゅっちょうします,ふくざつ
いなか,しゅっぱつします,ふくしゅうします
いぬ,しゅみ,ふくろ
いま,じゅんび,ふた
いまいいですか,しょうかいします,ふたつ
います,しょうがつ,ふたり
いまにも,しょうがっこう,ぶちょう
いまのでんしゃ,しょうきん,ふつう
いみ,しようきんし,ふつか
いもうと,おまちください,ぶっか
いもうとさん,じょうず,ぶつかります
いや,じょうずに,ふとい
いらっしゃい,しょうせつ,ふとります
いらっしゃいます,しょうせつか,ふとん
いらっしゃいませ,しょうたいします,ふなびん
いりぐち,しようちゅう,ふね
いります,じょうぶ,ふべん
いれます,じょうほう,ふみます
いろ,しょうゆ,ふゆ
いろいろ,しょうらい,ブラジル
おせわになりました,ショート,フランケン
インスタントラーメン,ジョギング,フランス
インターネット,しょくじします,ふります
インド,しょくどう,ふるい
インドネシア,じょこう,プレゼント
インフルエンザ,しょるい,ふろ
ううん,しらせます,ふろしき
うーん,しらべます,フロント
うえ,しりあいます,ぶんか
うえます,しります,ぶんがく
うかがいます,しりょう,ぶんぽう
うけつけ,しろ,へいじつ
うけます,しろい,へいわ
うごきます,じん,へえ
うしろ,シンガポール,ペキン
うすい,しんかんせん,へた
うそ,シングル,ベッド
うた,しんごう,ペット
うたいます,じんこう,べつべつに
うち,しんごうをみぎへまがってください,へや
うちゅう,しんじます,ベラクルス
うつくしい,じんじゃ,へります
